img,lb,fold
volume-0-0,0,0
volume-0-1,0,0
volume-0-2,0,0
volume-0-3,0,0
volume-0-4,0,0
volume-0-5,0,0
volume-0-6,0,0
volume-0-7,0,0
volume-0-8,0,0
volume-0-9,0,0
volume-0-10,0,0
volume-0-11,0,0
volume-0-12,0,0
volume-0-13,0,0
volume-0-14,0,0
volume-0-15,0,0
volume-0-16,0,0
volume-0-17,0,0
volume-0-18,0,0
volume-0-19,0,0
volume-0-20,0,0
volume-0-21,0,0
volume-0-22,0,0
volume-0-23,0,0
volume-0-24,0,0
volume-0-25,0,0
volume-0-26,0,0
volume-0-27,0,0
volume-0-28,0,0
volume-0-29,0,0
volume-0-30,0,0
volume-0-31,0,0
volume-0-32,0,0
volume-0-33,0,0
volume-0-34,0,0
volume-0-35,0,0
volume-0-36,0,0
volume-0-37,0,0
volume-0-38,0,0
volume-0-39,0,0
volume-0-40,0,0
volume-0-41,0,0
volume-0-42,0,0
volume-0-43,0,0
volume-0-44,0,0
volume-0-45,1,0
volume-0-46,2,0
volume-0-47,1,0
volume-0-48,1,0
volume-0-49,1,0
volume-0-50,1,0
volume-0-51,1,0
volume-0-52,1,0
volume-0-53,1,0
volume-0-54,1,0
volume-0-55,1,0
volume-0-56,2,0
volume-0-57,2,0
volume-0-58,2,0
volume-0-59,2,0
volume-0-60,2,0
volume-0-61,2,0
volume-0-62,2,0
volume-0-63,1,0
volume-0-64,1,0
volume-0-65,2,0
volume-0-66,2,0
volume-0-67,2,0
volume-0-68,2,0
volume-0-69,2,0
volume-0-70,2,0
volume-0-71,2,0
volume-0-72,2,0
volume-0-73,1,0
volume-0-74,0,0
volume-1-0,0,0
volume-1-1,0,0
volume-1-2,0,0
volume-1-3,0,0
volume-1-4,0,0
volume-1-5,0,0
volume-1-6,0,0
volume-1-7,0,0
volume-1-8,0,0
volume-1-9,0,0
volume-1-10,0,0
volume-1-11,0,0
volume-1-12,0,0
volume-1-13,0,0
volume-1-14,0,0
volume-1-15,0,0
volume-1-16,0,0
volume-1-17,0,0
volume-1-18,0,0
volume-1-19,0,0
volume-1-20,0,0
volume-1-21,0,0
volume-1-22,0,0
volume-1-23,0,0
volume-1-24,0,0
volume-1-25,0,0
volume-1-26,0,0
volume-1-27,0,0
volume-1-28,0,0
volume-1-29,0,0
volume-1-30,0,0
volume-1-31,0,0
volume-1-32,0,0
volume-1-33,0,0
volume-1-34,0,0
volume-1-35,0,0
volume-1-36,0,0
volume-1-37,0,0
volume-1-38,0,0
volume-1-39,0,0
volume-1-40,0,0
volume-1-41,0,0
volume-1-42,0,0
volume-1-43,0,0
volume-1-44,0,0
volume-1-45,1,0
volume-1-46,1,0
volume-1-47,1,0
volume-1-48,1,0
volume-1-49,1,0
volume-1-50,1,0
volume-1-51,1,0
volume-1-52,1,0
volume-1-53,1,0
volume-1-54,1,0
volume-1-55,1,0
volume-1-56,2,0
volume-1-57,2,0
volume-1-58,2,0
volume-1-59,2,0
volume-1-60,2,0
volume-1-61,2,0
volume-1-62,2,0
volume-1-63,2,0
volume-1-64,2,0
volume-1-65,2,0
volume-1-66,2,0
volume-1-67,2,0
volume-1-68,2,0
volume-1-69,2,0
volume-1-70,2,0
volume-1-71,2,0
volume-1-72,2,0
volume-1-73,2,0
volume-1-74,0,0
volume-1-75,0,0
volume-1-76,0,0
volume-1-77,0,0
volume-1-78,0,0
volume-1-79,0,0
volume-1-80,0,0
volume-1-81,0,0
volume-1-82,0,0
volume-1-83,0,0
volume-1-84,0,0
volume-1-85,0,0
volume-1-86,0,0
volume-1-87,0,0
volume-1-88,0,0
volume-1-89,0,0
volume-1-90,0,0
volume-1-91,0,0
volume-1-92,0,0
volume-1-93,0,0
volume-1-94,0,0
volume-1-95,0,0
volume-1-96,0,0
volume-1-97,0,0
volume-1-98,0,0
volume-1-99,0,0
volume-1-100,0,0
volume-1-101,0,0
volume-1-102,0,0
volume-1-103,0,0
volume-1-104,0,0
volume-1-105,0,0
volume-1-106,0,0
volume-1-107,0,0
volume-1-108,0,0
volume-1-109,0,0
